ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
T32,Dump truck 4300 International (2007),3/10/2006,1HTMMAALX7H365949,TW44764,div 1,Photos/Library/T32-P.jpg,Photos/Library/T32-T.jpg,N/A
T34,Dump truck 4300 International (2007),7/31/2006,1HTMMAAN37H453761,16343TB,div 1,Photos/Library/T34-P.jpg,Photos/Library/T34-T.jpg,N/A
T35,Dump truck 4300 International (2007),7/31/2006,1HTMMAAN57H453762,TW64620,div 2,Photos/Library/T35-P.jpg,Photos/Library/T35-T.jpg,N/A
T47,Pickup Truck Ford F-150 (2016 Sam),3/18/2017,1FTFX1EF8GFD60780,VTL5974,div 1,Photos/Library/T47-P.jpg,Photos/Library/T47-T.jpg,N/A
T52,Truck Intern 7600 QuadAxleDump (2018),3/28/2018,3HTGRSNT2JN327336,45669TB,div 1,Photos/Library/T52-P.jpg,Photos/Library/T52-T.jpg,N/A
T53,Truck Mack CV713 QuadAxleDump (2007),8/6/2010,1M2AG11C07M046828,12319TB,div 2,Photos/Library/T53-P.jpg,Photos/Library/T53-T.jpg,N/A
T54,Truck Mack CTP713QuadAxleDump (2007),4/5/2012,1M2AT04C67M001698,16266TB,div 3,Photos/Library/T54-P.jpg,Photos/Library/T54-T.jpg,N/A
T60,Dump truck International 4300 (2017),5/26/2016,1HTMMMN8HH654696,33320TB,div 3,Photos/Library/T60-P.jpg,Photos/Library/T60-T.jpg,N/A
T61,Dump truck International 4300 (2017),5/26/2016,1HTMMMN8HH654697,33318TB,div 3,Photos/Library/T61-P.jpg,Photos/Library/T61-T.jpg,N/A
T62,Dump truck International 4300 (2017),5/26/2016,1HTMMMN8HH654698,33319TB,div 2,Photos/Library/T62-P.jpg,Photos/Library/T62-T.jpg,N/A
T63,Dump truck International 4300 (2017),5/26/2016,1HTMMMN8HH654699,33317TB,div 1,Photos/Library/T63-P.jpg,Photos/Library/T63-T.jpg,N/A
T102,BlowerTruck Sterling (2003),3/2/2004,2FZHATAK83AL70285,50-026TA,div 1,Photos/Library/T102-P.jpg,Photos/Library/T102-T.jpg,N/A
T104,BlowerTruck Mack (2007),10/27/2014,1M2AT13C17M002927,28464TB,div 1,Photos/Library/T104-P.jpg,Photos/Library/T104-T.jpg,N/A
T122,Toyota Tundra (2014 Jeff),5/22/2014,5TFDY5F15EX375131,WLR5940,div 1,Photos/Library/T122-P.jpg,Photos/Library/T122-T.jpg,N/A
T348,"Truck Pickup, Ford F-150 (2015 Robbie)",10/29/2015,1FTEW1EG8FFC90042,VJN9282,div 1,Photos/Library/T348-P.jpg,Photos/Library/T348-T.jpg,N/A
